Reference;Number of studies in the publication that fulfills the eligibility criteria;Substance;No email for corresponding author in publication/ Email for corresponding author no longer working;No answer;Answer;Included/ excluded
(Alvarez-Leite et al., 1994a);1;Guar gum;x;;;
(Alvarez-Leite et al., 1994b);1;Guar gum;x;;;
Blackburn (1981);2;Guar gum;x;;;
Blackburn (1983);2;Guar gum;x;;;
Blackburn (1984a);1;Guar gum;x;;;
Blackburn (1984b);1;Guar gum;x;;;
Brown (1988);1;Guar gum;x;;;
Brunsgaard (1995);1;Guar gum;x;;;
Bueno (1981);1;Guar gum;x;;;
Cummings (1978);1;Guar gum;x;;;
Homann (2004);1;Guar gum;x;;;
Jacobs and Lupton (1984);1;Guar gum;x;;;
Jacobs and Lupton (1986);1;Guar gum;x;;;
Nyman (1986);2;Guar gum;x;;;
Schonfeld (1997);1;Guar gum;x;;;
Southon (1987);1;Guar gum;x;;;
Takahashi (1994);1;Guar gum;x;;;
Tamura (1999);1;Guar gum;x;;;
Tinker (1989);1;Guar gum;x;;;
Tulung (1987);1;Guar gum;x;;;
Weaver (1996);1;Guar gum;x;;;
Hara et al. (1999b);1;Guar gum;x;;;
Begin (1989);2;"Guar gum; Carboxymethyl cellulose
";x;;;
Barcelo (2000);2;Sodium alginate;x;;;
Yamamoto (2014);1;Sodium alginate;x;;;
Daly (1993);1;Xanthan gum;x;;;
Trout (1978);1;Xanthan gum;x;;;
Trout (1983);1;Xanthan gum;x;;;
Cerda (1987);1;;x;;;
Mitsui (2006);1;;x;;;
Shibata (2000);1;;x;;;
Shimotoyodome (2001);2;;x;;;
Mi (2020);1;"
Carrageenan";;x;;
Milard (2018);1;"
Carrageenan";;x;;
Zhang (2021);1;"
Carrageenan";;x;;
Wu (2023);3;"
Carrageenan; Guar gum; Xanthan gum
";;x;;
Carvalho (2017);1;"
Guar gum";;x;;
den Besten (2014);1;"
Guar gum";;x;;
den Besten (2015);1;"
Guar gum";;x;;
Fak (2015);1;"
Guar gum";;x;;
Fan (2012);1;"
Guar gum";;x;;
Fujii (2019);1;"
Guar gum";;x;;
Hung (2018);1;"
Guar gum";;x;;
Guo (2020);1;"
Sodium alginate";;x;;
Horniblow (2016a);1;"
Sodium alginate";;x;;
Horniblow et al. (2016b);1;"
Sodium alginate";;x;;
Huang (2021);1;"
Sodium alginate";;x;;
Niu (2022);1;"
Sodium alginate";;x;;
Nagasawa (2022);1;"
Xanthan gum";;x;;
Chen (2017);1;Carboxymethyl cellulose;;x;;
Goto (2022);1;Carboxymethyl cellulose;;x;;
Juskiewicz (2004);1;Carboxymethyl cellulose;;x;;
Metzler-Zebeli (2010a);1;Carboxymethyl cellulose;;x;;
Oscarsson (2020);2;Carboxymethyl cellulose;;x;;
Piel (2005);1;Carboxymethyl cellulose;;x;;
Rousta (2021);1;Carboxymethyl cellulose;;x;;
Sahasakul (2014);1;Carboxymethyl cellulose;;x;;
Sandall (2020);1;Carboxymethyl cellulose;;x;;
Wu (2020);1;Carboxymethyl cellulose;;x;;
Wang et al. (2021);1;Carrageenan;;x;;
Adesina (2021);1;Guar gum;;x;;
Ohashi (2015);1;Guar gum;;x;;
Polymeros (2014);1;Guar gum;;x;;
Rosli (2020);1;Guar gum;;x;;
Sitolo (2020);1;Guar gum;;x;;
Takagi (2016);1;Guar gum;;x;;
van Nieuwenhoven (2001);1;Guar gum;;x;;
Oku (2008);1;Sodium alginate;;x;;
